Country,Population,Area,GDP,Birthrate,Deathrate
Mauritania,3177388,1030700,2200,40.99,12.16
Mauritius,1240827,2040,12800,15.43,6.86
Mayotte,201234,374,2600,40.95,7.7
Mexico,107449525,1972550,10000,20.69,4.74
"Micronesia, Federated States of",108004,702,2300,24.68,4.75
Moldova,4466706,33843,1900,15.7,12.64
Monaco,32543,2,27000,9.19,12.91
Mongolia,2832224,1564116,1900,21.59,6.95
Montenegro,630548,14026,3800,12.6,9.2
Montserrat,9439,102,3400,17.59,7.1
Morocco,33241259,446550,4100,21.98,5.58
Mozambique,19686505,801590,1300,35.18,21.35
Namibia,2044147,825418,7000,24.32,18.86
Nauru,13287,21,5000,24.76,6.7
Nepal,28287147,147181,1400,30.98,9.31
Netherlands,16491461,41526,30300,10.9,8.68
Netherlands Antilles,221736,960,16000,14.78,6.45
New Caledonia,219246,19060,15000,18.11,5.69
New Zealand,4076140,268680,25300,13.76,7.53
Nicaragua,5570129,129494,2900,24.51,4.45
Niger,12525094,1267000,1000,50.73,20.91
Nigeria,131859731,923768,1400,40.43,16.94
Niue,2166,260,5800,,
Norfolk Island,1828,35,,,
Northern Mariana Islands,82459,477,12500,19.43,2.29
Norway,4610820,323802,42800,11.46,9.4
Oman,3102229,212460,13500,36.24,3.81
Pakistan,165803560,803940,2400,29.74,8.23
Palau,20579,458,7600,18.03,6.8
Panama,3191319,78200,7400,21.74,5.36
Papua New Guinea,5670544,462840,2600,29.36,7.25
Paraguay,6506464,406750,4600,29.1,4.49
Peru,28302603,1285220,6000,20.48,6.23
Philippines,89468677,300000,4700,24.89,5.41
Poland,38536869,312685,13100,9.85,9.89
Portugal,10605870,92391,19000,10.72,10.5
Puerto Rico,3927188,13790,18700,12.77,7.65
Qatar,885359,11437,28300,15.56,4.72
Reunion,787584,2517,6200,18.9,5.49
Romania,22303552,237500,8100,10.7,11.77
Russia,142893540,17075200,11000,9.95,14.65
Rwanda,8648248,26338,1500,40.37,16.09
Saint Helena,7502,413,2500,12.13,6.53
Saint Kitts and Nevis,39129,261,8200,18.02,8.33
Saint Lucia,168458,616,4800,19.68,5.08
Saint Pierre and Miquelon,7026,242,7000,13.52,6.83
Saint Vincent and the Grenadines,117848,389,3600,16.18,5.98
Samoa,176908,2944,2100,16.43,6.62
San Marino,29251,61,34600,10.02,8.17
Sao Tome and Principe,193413,1001,1200,40.25,6.47
Saudi Arabia,27019731,1960582,13100,29.34,2.58
Senegal,11987121,196190,1800,32.78,9.42
Serbia,9396411,88361,4400,,
Seychelles,81541,455,7800,16.03,6.29
Sierra Leone,6005250,71740,800,45.76,23.03
Singapore,4492150,693,28600,9.34,4.28
Slovakia,5439448,48845,16300,10.65,9.45
Slovenia,2010347,20273,21500,8.98,10.31
Solomon Islands,552438,28450,600,30.01,3.92
Somalia,8863338,637657,600,45.13,16.63
South Africa,44187637,1219912,12200,18.2,22
Spain,40397842,504782,25600,10.06,9.72
Sri Lanka,20222240,65610,4300,15.51,6.52
Sudan,41236378,2505810,2100,34.53,8.97
Suriname,439117,163270,6600,18.02,7.27
Svalbard,2701,61020,,,
